a52dec 0.8.0-2
python-colorama 0.4.6-2
python-dacite 1.8.1-2
python-dateutil 2.8.2-5
python-distlib 0.3.7-1
python-docopt 0.6.2-12
python-dotenv 1.0.0-2
python-exif 1.6.0-2
python-fastjsonschema 2.19.0-1
python-filelock 3.12.4-1
python-findpython 0.4.0-1
python-gobject 3.46.0-1
python-idna 3.4-3
python-inflect 7.0.0-2
python-installer 0.7.0-3
python-isodate 0.6.1-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jinja 1:3.1.2-4
python-lockfile 0.12.2-12
python-markdown-it-py 3.0.0-1
python-markupsafe 2.1.3-1
python-mdurl 0.1.2-4
python-more-itertools 10.1.0-1
python-msgpack 1.0.5-1
python-mutagen 1.47.0-1
python-numpy 1.26.2-1
python-opengl 3.1.6-2
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pathvalidate 3.2.0-1
python-pdm 2.10.4-1
python-pdm-backend 2.1.7-1
python-platformdirs 4.1.0-1
python-plum 0.8.5-3
python-ply 3.11-12
python-pycparser 2.21-5
python-pydantic 2.5.2-1
python-pydantic-core 1:2.14.5-1
python-pygments 2.17.2-1
python-pyliblo 0.10.0-11
python-pyparsing 3.1.1-1
python-pyproject-hooks 1.0.0-5
python-pyproject-metadata 0.7.1-2
python-pyqt5 5.15.10-1
python-pyqt5-sip 12.13.0-1
python-pyqt6 6.6.1-1
python-pyqt6-sip 13.6.0-1
python-pywayland 0.4.17-1
python-pywlroots 0.16.6-2
python-rdflib 6.2.0-2
python-requests 2.31.0-1
python-requests-toolbelt 1.0.0-1
python-resolvelib 1.0.1-1
python-rich 13.7.0-1
python-setuptools 1:68.2.1-1
python-shellingham 1.5.0.post1-4
python-shiboken2 5.15.11-1
python-simplejson 3.19.2-1
python-six 1.16.0-8
python-soundcloud-v2 1.3.0-2
python-termcolor 2.3.0-1
python-tomli 2.0.1-3
python-tomli-w 1.0.0-6
python-tomlkit 0.12.2-1
python-tornado 6.3.2-1
python-trove-classifiers 2023.11.29-1
python-typing_extensions 4.8.0-1
python-uc-micro-py 1.0.2-1
python-unearth 0.12.1-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.24.6-1
python-wheel 0.40.0-3
python-xcffib 1.4.0-1
python-xkbcommon 0.8-2
qpwgraph 0.6.1-1
qt5-base 5.15.11+kde+r147-1
qt5-declarative 5.15.11+kde+r32-1
qt5-svg 5.15.11+kde+r6-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
